Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
19,Chapecoense,Santa Catarina,"R$ 74,8 Milhões[109]","R$ 6,7 Milhões[109]",2016,74.8,6.7
20,Figueirense,Santa Catarina,"R$ 70,8 Milhões[110]","R$ 2,6 Milhões[110]",2016,70.8,2.6
1,Cruzeiro,Minas Gerais,"R$ 363,8 Milhões[111]","R$ -25,7 Milhões[111]",2015,363.8,25.7
2,Flamengo,Rio de Janeiro,"R$ 356,2 Milhões[116]","R$ 130,4 Milhões[112]",2015,356.2,130.4
3,Palmeiras,São Paulo,"R$ 350,5 Milhões[113]","R$ 10,9 Milhões[113]",2015,350.5,10.9
4,São Paulo,São Paulo,"R$ 330,8 Milhões[114]","R$ -72,5 Milhões[114]",2015,330.8,72.5
5,Corinthians,São Paulo,"R$ 298,4 Milhões[115]","R$ -97,0 Milhões[115]",2015,298.4,97.0
6,Internacional,Rio Grande do Sul,"R$ 297,0 Milhões[117]","R$ 27,5 Milhões[117]",2015,297.0,27.5
7,Atlético Mineiro,Minas Gerais,"R$ 244,6 milhões[118]","R$ -11,9 milhões[118]",2015,244.6,11.9
8,Grêmio,Rio Grande do Sul,"R$ 192,6 Milhões[119]","R$ -37,5 Milhões[120]",2015,192.6,37.5
9,Vasco,Rio de Janeiro,"R$ 189,7 Milhões[121]","R$ 119,8 Milhões[121]",2015,189.7,119.8
10,Fluminense,Rio de Janeiro,"R$ 180,3 Milhões[122]","R$ 31,8 Milhões[122]",2015,180.3,31.8
11,Atlético Paranaense,Paraná,"R$ 179,8 Milhões[123]","R$ 45,8 Milhões[123]",2015,179.8,45.8
12,Santos,São Paulo,"R$ 169,9 Milhões[124]","R$ -78,1 Milhões[124]",2015,169.9,78.1
13,Botafogo,Rio de Janeiro,"R$ 113,8 Milhões[125]","R$ 108,8 Milhões[125]",2015,113.8,108.8
14,Bahia,Bahia,"R$ 89,3 Milhões[126]","R$ 34,1 Milhões[126]",2015,89.3,34.1
15,Sport,Pernambuco,"R$ 87,6 Milhões[127]","R$ -26,5 Milhões[127]",2015,87.6,26.5
16,Coritiba,Paraná,"R$ 85,6 Milhões[128]","R$ -16,4 Milhões[128]",2015,85.6,16.4
17,Goiás,Goiás,"R$ 75,4 Milhões[129]","R$ 25,5 Milhões[129]",2015,75.4,25.5
18,Ponte Preta,São Paulo,"R$ 53,7 Milhões[130]","R$ 0,4 Milhão[130]",2015,53.7,0.4
19,Vitória,Bahia,"R$ 52,2 Milhões[131]","R$ -7,6 Milhões[131]",2015,52.2,7.6
